Timestamp,Name,ID,Angle,Temperature,Temp_Units,Battery,Gravity,Interval,RSSI
2026-01-02T11:51:47.407494,iSpindel000,8947409,0.258226,66.875,F,3.618352,-13.91019,30,-37
2026-01-02T11:52:23.036380,iSpindel000,8947409,0.254298,66.875,F,3.618352,-13.91238,30,-38
2026-01-02T11:52:58.714415,iSpindel000,8947409,0.238658,66.875,F,3.62878,-13.92109,30,-39
2026-01-02T11:53:29.402466,iSpindel000,8947409,0.28537,66.875,F,3.62878,-13.89507,30,-35
2026-01-02T11:54:00.423294,iSpindel000,8947409,0.244134,66.875,F,3.62878,-13.91804,30,-35
2026-01-02T11:54:35.133591,iSpindel000,8947409,0.216768,66.875,F,3.62878,-13.93327,30,-37
2026-01-02T11:55:05.854934,iSpindel000,8947409,0.224018,66.875,F,3.618352,-13.92924,30,-36
2026-01-02T11:55:37.802375,iSpindel000,8947409,0.232015,66.875,F,3.618352,-13.92478,30,-37
2026-01-02T11:56:09.447669,iSpindel000,8947409,0.260143,66.875,F,3.618352,-13.90912,30,-40
2026-01-02T11:56:41.094197,iSpindel000,8947409,0.247837,66.9875,F,3.62878,-13.91597,30,-43
2026-01-02T11:57:12.730213,iSpindel000,8947409,0.26135,66.875,F,3.62878,-13.90845,30,-39
2026-01-02T11:57:43.449658,iSpindel000,8947409,0.201364,66.9875,F,3.618352,-13.94185,30,-36
2026-01-02T11:58:15.406094,iSpindel000,8947409,0.207626,66.9875,F,3.602711,-13.93837,30,-39
2026-01-02T11:58:47.039975,iSpindel000,8947409,0.26783,66.9875,F,3.62878,-13.90484,30,-35
2026-01-02T11:59:18.682777,iSpindel000,8947409,0.212917,66.9875,F,3.62878,-13.93542,30,-39
2026-01-02T11:59:52.473061,iSpindel000,8947409,0.214338,66.9875,F,3.62878,-13.93463,30,-38
2026-01-02T12:00:24.205212,iSpindel000,8947409,0.225529,66.9875,F,3.607925,-13.9284,30,-36
2026-01-02T12:00:57.102622,iSpindel000,8947409,0.214637,66.9875,F,3.618352,-13.93446,30,-36
2026-01-02T12:01:30.793353,iSpindel000,8947409,0.205013,66.9875,F,3.62878,-13.93982,30,-36
2026-01-02T12:02:06.418084,iSpindel000,8947409,0.250377,66.9875,F,3.618352,-13.91456,30,-41
2026-01-02T12:02:38.063677,iSpindel000,8947409,0.236642,66.9875,F,3.618352,-13.92221,30,-36
2026-01-02T12:03:09.711482,iSpindel000,8947409,0.205577,66.9875,F,3.618352,-13.93951,30,-36
2026-01-02T12:03:40.422848,iSpindel000,8947409,0.207683,66.9875,F,3.618352,-13.93833,30,-36
2026-01-02T12:04:12.371568,iSpindel000,8947409,0.211211,66.9875,F,3.62878,-13.93637,30,-36
2026-01-02T12:04:44.017274,iSpindel000,8947409,0.223842,66.9875,F,3.618352,-13.92934,30,-37
2026-01-02T12:05:17.901803,iSpindel000,8947409,0.316969,66.9875,F,3.618352,-13.87748,30,-40
2026-01-02T12:05:49.753611,iSpindel000,8947409,0.214568,66.9875,F,3.618352,-13.9345,30,-36
2026-01-02T12:06:21.396842,iSpindel000,8947409,0.231093,66.9875,F,3.618352,-13.9253,30,-37
2026-01-02T12:06:52.121429,iSpindel000,8947409,0.198864,66.9875,F,3.618352,-13.94324,30,-40
2026-01-02T12:07:24.066330,iSpindel000,8947409,0.244692,66.9875,F,3.618352,-13.91773,30,-38
2026-01-02T12:07:55.723307,iSpindel000,8947409,0.238545,66.9875,F,3.618352,-13.92115,30,-38
2026-01-02T12:08:31.662291,iSpindel000,8947409,0.219699,66.9875,F,3.618352,-13.93164,30,-43
2026-01-02T12:09:03.613186,iSpindel000,8947409,0.170995,66.9875,F,3.618352,-13.95877,30,-38
2026-01-02T12:09:35.241235,iSpindel000,8947409,0.181855,66.9875,F,3.618352,-13.95272,30,-37
2026-01-02T12:10:07.196304,iSpindel000,8947409,0.213728,66.875,F,3.618352,-13.93497,30,-37
2026-01-02T12:10:39.884935,iSpindel000,8947409,0.202117,66.9875,F,3.618352,-13.94143,30,-37
2026-01-02T12:11:10.783366,iSpindel000,8947409,0.216222,66.9875,F,3.618352,-13.93358,30,-36
2026-01-02T12:11:43.659677,iSpindel000,8947409,0.227424,66.875,F,3.62878,-13.92734,30,-41
2026-01-02T12:12:14.375332,iSpindel000,8947409,0.201779,66.9875,F,3.618352,-13.94162,30,-36
2026-01-02T12:12:46.321422,iSpindel000,8947409,0.204401,66.9875,F,3.62878,-13.94016,30,-36
2026-01-02T12:13:17.966067,iSpindel000,8947409,58.68554,66.9875,F,3.618352,17.56621,30,-38
2026-01-02T12:13:48.697105,iSpindel000,8947409,2.507508,67.21249,F,3.62878,-12.65927,30,-45
2026-01-02T12:14:19.717262,iSpindel000,8947409,2.524431,67.4375,F,3.618352,-12.64987,30,-47
2026-01-02T12:14:50.742466,iSpindel000,8947409,2.535944,67.6625,F,3.618352,-12.64347,30,-47
2026-01-02T12:15:21.467132,iSpindel000,8947409,2.467223,67.6625,F,3.618352,-12.68164,30,-50
2026-01-02T12:21:08.344324,iSpindel000,8947409,21.05827,65.8625,F,3.618352,-2.462014,30,-70
2026-01-02T12:23:31.150044,iSpindel000,8947409,20.96576,65.3,F,3.62878,-2.512339,30,-74
2026-01-02T12:25:52.766688,iSpindel000,8947409,20.85186,64.96249,F,3.62878,-2.574303,30,-64
2026-01-02T12:26:26.249560,iSpindel000,8947409,20.87916,65.075,F,3.618352,-2.559451,30,-63
2026-01-02T12:26:57.901687,iSpindel000,8947409,26.22989,65.3,F,3.618352,0.342768,30,-64
2026-01-02T12:27:28.619923,iSpindel000,8947409,25.32991,65.3,F,3.618352,-0.144136,30,-60
2026-01-02T12:29:17.675175,iSpindel000,8947409,69.93053,71.2625,F,3.618352,23.38132,30,-67
2026-01-02T12:30:28.952518,iSpindel000,8947409,70.66882,75.3125,F,3.618352,23.76037,30,-63
2026-01-02T12:31:00.590710,iSpindel000,8947409,70.6562,76.77499,F,3.618352,23.75389,30,-62
2026-01-02T12:31:31.316784,iSpindel000,8947409,70.72071,77.675,F,3.613139,23.787,30,-64
2026-01-02T12:32:04.188344,iSpindel000,8947409,70.70559,78.46249,F,3.618352,23.77924,30,-64
2026-01-02T12:32:35.826371,iSpindel000,8947409,70.72678,79.1375,F,3.618352,23.79011,30,-64
2026-01-02T12:33:08.705808,iSpindel000,8947409,70.75546,79.7,F,3.618352,23.80482,30,-65
2026-01-02T12:33:41.566670,iSpindel000,8947409,70.79723,80.14999,F,3.618352,23.82626,30,-65
2026-01-02T12:34:13.208171,iSpindel000,8947409,70.8045,80.4875,F,3.618352,23.82999,30,-63
2026-01-02T12:34:47.126354,iSpindel000,8947409,70.80523,80.825,F,3.618352,23.83036,30,-64
2026-01-02T12:35:56.430787,iSpindel000,8947409,70.86716,81.3875,F,3.618352,23.86214,30,-64
2026-01-02T12:36:28.071810,iSpindel000,8947409,70.84562,81.6125,F,3.618352,23.85109,30,-65
2026-01-02T12:36:59.712310,iSpindel000,8947409,70.83266,81.83749,F,3.613139,23.84444,30,-65
2026-01-02T12:37:31.357627,iSpindel000,8947409,70.87054,81.95,F,3.613139,23.86387,30,-64
2026-01-02T12:38:03.302633,iSpindel000,8947409,70.87837,82.0625,F,3.618352,23.86789,30,-67
